id,home.rushingTDs,home.passingTDs,home.kickReturnYards,home.kickReturnTDs,home.kickReturns,home.kickingPoints,home.interceptionYards,home.interceptionTDs,home.passesIntercepted,home.fumblesRecovered,home.totalFumbles,home.tacklesForLoss,home.defensiveTDs,home.tackles,home.sacks,home.qbHurries,home.passesDeflected,home.firstDowns,home.thirdDownEff,home.fourthDownEff,home.totalYards,home.netPassingYards,home.completionAttempts,home.yardsPerPass,home.rushingYards,home.rushingAttempts,home.yardsPerRushAttempt,home.totalPenaltiesYards,home.turnovers,home.fumblesLost,home.interceptions,home.possessionTime,away.rushingTDs,away.puntReturnYards,away.puntReturnTDs,away.puntReturns,away.passingTDs,away.kickReturnYards,away.kickReturnTDs,away.kickReturns,away.interceptionYards,away.interceptionTDs,away.passesIntercepted,away.fumblesRecovered,away.totalFumbles,away.tacklesForLoss,away.defensiveTDs,away.tackles,away.sacks,away.qbHurries,away.passesDeflected,away.firstDowns,away.thirdDownEff,away.fourthDownEff,away.totalYards,away.netPassingYards,away.completionAttempts,away.yardsPerPass,away.rushingYards,away.rushingAttempts,away.yardsPerRushAttempt,away.totalPenaltiesYards,away.turnovers,away.fumblesLost,away.interceptions,away.possessionTime,home.puntReturnYards,home.puntReturnTDs,home.puntReturns,away.kickingPoints
401112249,1,2,27.0,0.0,1.0,2.0,0.0,0.0,2.0,0,,2.0,0.0,37.0,2.0,3.0,4.0,24,0.4,0.5,445,194,18-30,6.5,251,45,5.6,9-86,1,0,1,32:51,1.0,,,,2.0,21.0,0.0,1.0,16.0,0.0,1.0,0,,5.0,0.0,44.0,0.0,1.0,4.0,22,0.4666666666666667,0.4666666666666667,345,271,34-51,5.3,74,21,3.5,5-39,2,0,2,27:06,8.0,0.0,1.0,6.0
401112209,6,4,80.0,0.0,3.0,13.0,1.0,0.0,1.0,1,,11.0,0.0,34.0,7.0,0.0,5.0,39,0.6428571428571429,1.0,705,322,26-38,8.5,383,56,6.8,13-141,1,1,0,36:41,1.0,,,,1.0,164.0,0.0,7.0,,,,1,,3.0,0.0,48.0,2.0,0.0,3.0,16,0.16666666666666666,0.16666666666666666,139,77,8-17,4.5,62,32,1.9,6-42,2,1,1,23:19,-5.0,0.0,2.0,2.0
401112154,3,1,31.0,0.0,2.0,10.0,10.0,0.0,1.0,1,,6.0,0.0,26.0,3.0,12.0,7.0,27,0.26666666666666666,1.0,526,251,19-36,7.0,275,51,5.4,3-30,4,1,3,37:39,1.0,23.0,0.0,4.0,3.0,98.0,0.0,4.0,76.0,1.0,3.0,1,,7.0,1.0,41.0,0.0,5.0,3.0,16,0.23529411764705882,0.23529411764705882,405,369,22-42,8.8,36,27,1.3,9-94,2,1,1,22:16,12.0,0.0,2.0,7.0
401112198,1,2,69.0,0.0,3.0,6.0,,,,1,,5.0,0.0,33.0,1.0,4.0,4.0,24,0.5714285714285714,0,472,173,16-25,6.9,299,46,6.5,8-63,2,1,1,36:53,0.0,0.0,0.0,1.0,2.0,22.0,0.0,1.0,0.0,0.0,1.0,1,,2.0,0.0,51.0,1.0,0.0,1.0,15,0.1111111111111111,0.1111111111111111,295,208,17-28,7.4,87,23,3.8,3-25,1,1,0,22:36,,,,10.0
401112244,2,1,26.0,0.0,3.0,3.0,,,,1,,1.0,0.0,34.0,0.0,2.0,1.0,23,0.5,0,493,220,13-23,9.6,273,37,7.4,3-31,1,0,1,25:20,2.0,1.0,0.0,1.0,1.0,133.0,1.0,4.0,11.0,0.0,1.0,0,,7.0,1.0,32.0,4.0,4.0,4.0,25,0.3333333333333333,0.3333333333333333,482,162,13-21,7.7,320,45,7.1,4-36,1,1,0,34:40,,,,13.0
401112166,3,1,60.0,0.0,3.0,10.0,,,,2,,3.0,0.0,40.0,2.0,3.0,2.0,21,0.5384615384615384,1.0,372,179,11-23,7.8,193,45,4.3,1-0,1,1,0,27:45,2.0,-3.0,0.0,1.0,1.0,28.0,0.0,1.0,,,,1,,5.0,0.0,31.0,3.0,6.0,1.0,23,0.5384615384615384,0.5384615384615384,462,371,31-41,9.0,91,31,2.9,5-27,2,2,0,32:05,,,,9.0
401112250,5,0,8.0,0.0,1.0,9.0,40.0,0.0,1.0,0,,8.0,0.0,49.0,2.0,3.0,8.0,16,0.5,0,410,76,7-13,5.8,334,52,6.4,0-0,3,1,2,29:52,0.0,,,,0.0,90.0,0.0,5.0,2.0,0.0,2.0,1,,4.0,0.0,46.0,1.0,0.0,0.0,16,0.3157894736842105,0.3157894736842105,310,227,25-46,4.9,83,31,2.7,8-55,1,0,1,30:08,-1.0,0.0,1.0,6.0
401112219,1,4,30.0,0.0,2.0,14.0,9.0,0.0,2.0,0,,5.0,0.0,31.0,3.0,2.0,2.0,25,0.6153846153846154,0,467,384,24-33,11.6,83,34,2.4,9-91,1,1,0,29:55,0.0,0.0,0.0,1.0,1.0,33.0,0.0,2.0,,,,1,,5.0,0.0,41.0,3.0,1.0,3.0,16,0.15384615384615385,0.15384615384615385,220,166,17-30,5.5,54,30,1.8,7-93,2,0,2,30:05,58.0,0.0,2.0,4.0
401112255,2,1,76.0,0.0,5.0,3.0,,,,2,,5.0,0.0,29.0,1.0,2.0,4.0,10,0.3333333333333333,0,231,121,12-26,4.7,110,40,2.8,5-55,3,1,2,31:26,2.0,14.0,0.0,2.0,6.0,33.0,0.0,2.0,3.0,0.0,2.0,1,,8.0,0.0,35.0,1.0,1.0,3.0,31,0.6153846153846154,0.6153846153846154,594,377,21-34,11.1,217,44,4.9,6-54,2,2,0,28:34,7.0,0.0,1.0,8.0
401112199,1,2,25.0,0.0,2.0,5.0,0.0,0.0,1.0,0,,7.0,0.0,44.0,6.0,2.0,7.0,18,0.45454545454545453,1.0,290,173,14-23,7.5,117,31,3.8,3-16,0,0,0,27:40,1.0,11.0,0.0,1.0,1.0,56.0,0.0,3.0,,,,0,,6.0,0.0,32.0,2.0,0.0,3.0,23,0.5,0.5,431,368,25-39,9.4,63,30,2.1,5-52,1,0,1,31:14,,,,7.0
