,season,week,home_team,away_team,home.totalYards,away.totalYards,Home_possession_time,Away_possession_time,Home_Offensive_TDs,Away_Offensive_TDs,home.turnovers,away.turnovers,home.thirdDownEff,home.fourthDownEff,away.thirdDownEff,away.fourthDownEff,away_points,home_points
36,2013,4,Ohio State,Florida A&M,603,80,1286,2314,11,0.0,1,2,0.5,1.0,0.09090909090909093,0.09090909090909093,0.0,76.0
37,2013,4,Minnesota,San José State,424,486,1286,2314,6,3.0,0,3,0.5384615384615384,1.0,0.1111111111111111,0.1111111111111111,24.0,43.0
38,2013,4,Iowa,Western Michigan,446,209,1286,2314,4,0.0,2,4,0.6,1.0,0.07142857142857142,0.07142857142857142,3.0,59.0
39,2013,4,Penn State,Kent State,463,190,1286,2314,4,0.0,1,1,0.3888888888888889,0.6666666666666666,0.2,0.2,0.0,34.0
40,2013,4,Northwestern,Maine,373,379,1286,2314,3,3.0,2,3,0.5,0.5,0.5625,0.5625,21.0,35.0
41,2013,4,Notre Dame,Michigan State,220,254,1286,2314,2,1.0,0,1,0.35294117647058826,0.0,0.4444444444444444,0.4444444444444444,13.0,17.0
42,2013,4,Wisconsin,Purdue,546,180,1286,2314,5,1.0,1,1,0.38461538461538464,0.5,0.14285714285714285,0.14285714285714285,10.0,41.0
43,2013,4,Nebraska,South Dakota State,645,465,1286,2314,7,2.0,2,3,0.7,1.0,0.2727272727272727,0.2727272727272727,20.0,59.0
44,2013,4,Connecticut,Michigan,206,289,1286,2314,2,3.0,1,4,0.09090909090909093,0.0,0.4117647058823529,0.4117647058823529,24.0,21.0
45,2013,4,Indiana,Missouri,475,623,1286,2314,4,5.0,3,3,0.29411764705882354,0.5,0.5,0.5,45.0,28.0
46,2013,5,Purdue,Northern Illinois,524,402,1286,2314,3,5.0,5,1,0.3333333333333333,0.5,0.3636363636363637,0.3636363636363637,55.0,24.0
47,2013,5,Illinois,Miami (OH),601,250,1286,2314,7,2.0,2,0,0.7142857142857143,1.0,0.18181818181818185,0.18181818181818185,14.0,50.0
48,2013,5,Minnesota,Iowa,165,464,1286,2314,1,2.0,2,1,0.3076923076923077,0.5,0.5714285714285714,0.5714285714285714,23.0,7.0
49,2013,5,Ohio State,Wisconsin,390,399,1286,2314,4,3.0,0,1,0.4,0.5,0.25,0.25,24.0,31.0
50,2013,6,Iowa,Michigan State,264,412,1286,2314,2,2.0,2,1,0.26666666666666666,0.0,0.3157894736842105,0.3157894736842105,26.0,14.0
51,2013,6,Nebraska,Illinois,521,372,1286,2314,5,2.0,1,2,0.5,0.0,0.26666666666666666,0.26666666666666666,19.0,39.0
52,2013,6,Indiana,Penn State,486,410,1286,2314,5,3.0,1,1,0.26666666666666666,0.0,0.5,0.5,24.0,44.0
53,2013,6,Michigan,Minnesota,348,281,1286,2314,5,1.0,0,2,0.7692307692307693,0.0,0.5333333333333333,0.5333333333333333,13.0,42.0
54,2013,6,Northwestern,Ohio State,437,451,1286,2314,3,3.0,2,3,0.35714285714285715,0.0,0.5384615384615384,0.5384615384615384,40.0,30.0
55,2013,7,Michigan State,Indiana,473,351,1286,2314,6,4.0,2,1,0.6666666666666666,0.0,0.4444444444444444,0.4444444444444444,28.0,42.0
56,2013,7,Purdue,Nebraska,216,435,1286,2314,1,6.0,2,3,0.21428571428571427,0.0,0.5238095238095238,0.5238095238095238,44.0,7.0
57,2013,7,Wisconsin,Northwestern,527,241,1286,2314,5,0.0,3,1,0.5,0.0,0.1176470588235294,0.1176470588235294,6.0,35.0
58,2013,7,Penn State,Michigan,390,389,1286,2314,5,3.0,4,3,0.1875,0.6666666666666666,0.2222222222222222,0.2222222222222222,40.0,43.0
59,2013,8,Northwestern,Minnesota,328,299,1286,2314,2,1.0,3,0,0.375,1.0,0.3076923076923077,0.3076923076923077,20.0,17.0
60,2013,8,Michigan State,Purdue,294,226,1286,2314,1,0.0,0,2,0.38461538461538464,1.0,0.3333333333333333,0.3333333333333333,0.0,14.0
61,2013,8,Michigan,Indiana,751,572,1286,2314,9,6.0,2,2,0.6363636363636364,1.0,0.5714285714285714,0.5714285714285714,47.0,63.0
62,2013,8,Ohio State,Iowa,495,375,1286,2314,4,3.0,0,1,0.7142857142857143,0.0,0.6153846153846154,0.6153846153846154,24.0,34.0
63,2013,8,Illinois,Wisconsin,391,478,1286,2314,4,8.0,2,0,0.4545454545454545,0.0,0.5,0.5,56.0,32.0
64,2013,9,Minnesota,Nebraska,430,328,1286,2314,4,2.0,0,2,0.38461538461538464,1.0,0.3333333333333333,0.3333333333333333,23.0,34.0
65,2013,9,Iowa,Northwestern,305,329,1286,2314,2,1.0,1,2,0.42857142857142855,0.5,0.5714285714285714,0.5714285714285714,10.0,17.0
66,2013,9,Illinois,Michigan State,128,477,1286,2314,0,6.0,2,1,0.3,0.0,0.875,0.875,42.0,3.0
67,2013,9,Ohio State,Penn State,686,357,1286,2314,9,2.0,0,3,0.7,0.0,0.5,0.5,14.0,63.0
68,2013,10,Penn State,Illinois,490,411,1286,2314,3,2.0,1,2,0.4444444444444444,0.6666666666666666,0.6153846153846154,0.6153846153846154,17.0,24.0
69,2013,10,Purdue,Ohio State,116,640,1286,2314,0,7.0,2,1,0.16666666666666666,0.0,0.6666666666666666,0.6666666666666666,56.0,0.0
70,2013,10,Iowa,Wisconsin,289,362,1286,2314,0,4.0,2,1,0.2222222222222222,0.5,0.26666666666666666,0.26666666666666666,28.0,9.0
71,2013,10,Nebraska,Northwestern,472,326,1286,2314,3,3.0,4,1,0.3125,1.0,0.14285714285714285,0.14285714285714285,24.0,27.0
72,2013,10,Michigan State,Michigan,394,168,1286,2314,3,0.0,1,1,0.5,0.0,0.14285714285714285,0.14285714285714285,6.0,29.0
73,2013,10,Indiana,Minnesota,496,573,1286,2314,5,6.0,1,1,0.4,0.0,0.42857142857142855,0.42857142857142855,42.0,39.0
74,2013,11,Minnesota,Penn State,381,353,1286,2314,3,1.0,1,2,0.5294117647058824,1.0,0.1111111111111111,0.1111111111111111,10.0,24.0
75,2013,11,Purdue,Iowa,266,509,1286,2314,2,5.0,1,1,0.4705882352941176,0.5,0.6666666666666666,0.6666666666666666,38.0,14.0
76,2013,11,Michigan,Nebraska,175,273,1286,2314,1,2.0,0,2,0.2,0.3333333333333333,0.375,0.375,17.0,13.0
77,2013,11,Wisconsin,BYU,425,370,1286,2314,3,2.0,2,1,0.4117647058823529,1.0,0.3684210526315789,0.3684210526315789,17.0,27.0
78,2013,11,Indiana,Illinois,650,612,1286,2314,7,5.0,2,1,0.3636363636363637,1.0,0.5789473684210527,0.5789473684210527,35.0,52.0
79,2013,12,Wisconsin,Indiana,676,224,1286,2314,6,0.0,0,2,0.3,1.0,0.25,0.25,3.0,51.0
80,2013,12,Illinois,Ohio State,420,591,1286,2314,4,7.0,2,1,0.3888888888888889,0.0,0.3076923076923077,0.3076923076923077,60.0,35.0
81,2013,12,Penn State,Purdue,501,264,1286,2314,6,2.0,2,3,0.8333333333333334,0.0,0.3636363636363637,0.3636363636363637,21.0,45.0
82,2013,12,Northwestern,Michigan,322,365,1286,2314,1,2.0,1,0,0.3,0.5,0.17647058823529413,0.17647058823529413,27.0,19.0
83,2013,12,Nebraska,Michigan State,392,361,1286,2314,4,5.0,5,0,0.4166666666666667,1.0,0.5238095238095238,0.5238095238095238,41.0,28.0
84,2013,13,Purdue,Illinois,283,380,1286,2314,2,2.0,1,4,0.26666666666666666,0.3333333333333333,0.4545454545454545,0.4545454545454545,20.0,16.0
85,2013,13,Northwestern,Michigan State,319,464,1286,2314,0,4.0,3,0,0.26666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333,30.0,6.0
86,2013,13,Iowa,Michigan,407,158,1286,2314,3,2.0,4,1,0.26666666666666666,0.3333333333333333,0.2857142857142857,0.2857142857142857,21.0,24.0
87,2013,13,Minnesota,Wisconsin,185,324,1286,2314,0,2.0,3,1,0.2307692307692308,0.3333333333333333,0.25,0.25,20.0,7.0
88,2013,13,Ohio State,Indiana,471,442,1286,2314,6,2.0,3,0,0.7142857142857143,0.0,0.3333333333333333,0.3333333333333333,14.0,42.0
89,2013,13,Penn State,Nebraska,387,360,1286,2314,3,1.0,1,2,0.14285714285714285,0.0,0.17647058823529413,0.17647058823529413,23.0,20.0
90,2013,14,Nebraska,Iowa,288,282,1286,2314,2,5.0,3,0,0.21428571428571427,0.3333333333333333,0.375,0.375,38.0,17.0
91,2013,14,Michigan State,Minnesota,324,249,1286,2314,2,0.0,2,3,0.0,0.0,0.4,0.4,3.0,14.0
92,2013,14,Michigan,Ohio State,603,526,1286,2314,6,6.0,1,2,0.5714285714285714,0.5,0.375,0.375,42.0,41.0
93,2013,14,Wisconsin,Penn State,459,465,1286,2314,3,4.0,3,0,0.4705882352941176,0.6666666666666666,0.38461538461538464,0.38461538461538464,31.0,24.0
94,2013,14,Indiana,Purdue,692,516,1286,2314,8,5.0,2,0,0.8888888888888888,0.0,0.3333333333333333,0.3333333333333333,36.0,56.0
95,2013,14,Illinois,Northwestern,492,560,1286,2314,4,4.0,1,0,0.4666666666666667,0.0,0.6,0.6,37.0,34.0
96,2013,15,Michigan State,Ohio State,438,374,1286,2314,4,3.0,1,0,0.3333333333333333,1.0,0.1,0.1,24.0,34.0
97,2014,1,Minnesota,Eastern Illinois,338,409,1286,2314,5,3.0,1,3,0.5,0.0,0.3809523809523809,0.3809523809523809,20.0,42.0
98,2014,1,Washington State,Rutgers,538,496,1286,2314,5,5.0,2,1,0.6153846153846154,0.0,0.42857142857142855,0.42857142857142855,41.0,38.0
99,2014,1,Michigan State,Jacksonville State,565,244,1286,2314,6,1.0,0,3,0.4615384615384616,1.0,0.4,0.4,7.0,45.0
100,2014,1,UCF,Penn State,246,511,1286,2314,3,2.0,1,3,0.38461538461538464,0.5,0.5555555555555556,0.5555555555555556,26.0,24.0
101,2014,1,Navy,Ohio State,390,420,1286,2314,2,3.0,1,1,0.3333333333333333,1.0,0.25,0.25,34.0,17.0
102,2014,1,Michigan,Appalachian State,560,280,1286,2314,6,2.0,1,0,0.625,0.0,0.29411764705882354,0.29411764705882354,14.0,52.0
103,2014,1,Purdue,Western Michigan,407,456,1286,2314,5,5.0,0,1,0.4117647058823529,0.5,0.35714285714285715,0.35714285714285715,34.0,43.0
104,2014,1,Illinois,Youngstown State,363,380,1286,2314,4,1.0,1,0,0.5333333333333333,0.0,0.25,0.25,17.0,28.0
105,2014,1,Indiana,Indiana State,566,170,1286,2314,4,1.0,2,0,0.6470588235294118,0.0,0.14285714285714285,0.14285714285714285,10.0,28.0
106,2014,1,Iowa,Northern Iowa,401,405,1286,2314,4,2.0,1,2,0.5,0.0,0.375,0.375,23.0,31.0
107,2014,1,Nebraska,Florida Atlantic,784,200,1286,2314,7,1.0,0,0,0.6666666666666666,0.0,0.26666666666666666,0.26666666666666666,7.0,55.0
108,2014,1,Maryland,James Madison,471,302,1286,2314,7,1.0,1,3,0.5,1.0,0.21052631578947367,0.21052631578947367,7.0,52.0
109,2014,1,Northwestern,California,354,414,1286,2314,3,4.0,2,2,0.4,0.5,0.4705882352941176,0.4705882352941176,31.0,24.0
110,2014,1,LSU,Wisconsin,365,318,1286,2314,3,3.0,1,2,0.35294117647058826,1.0,0.26666666666666666,0.26666666666666666,24.0,28.0
111,2014,2,Wisconsin,Western Illinois,456,162,1286,2314,5,0.0,1,2,0.5,0.6666666666666666,0.3636363636363637,0.3636363636363637,3.0,37.0
112,2014,2,Rutgers,Howard,397,427,1286,2314,5,4.0,1,2,0.3,0.0,0.42857142857142855,0.42857142857142855,25.0,38.0
113,2014,2,Nebraska,McNeese,437,338,1286,2314,4,2.0,1,1,0.3076923076923077,0.5,0.29411764705882354,0.29411764705882354,24.0,31.0
114,2014,2,Purdue,Central Michigan,326,333,1286,2314,2,4.0,3,1,0.42857142857142855,0.4,0.4615384615384616,0.4615384615384616,38.0,17.0
115,2014,2,Illinois,Western Kentucky,520,400,1286,2314,5,3.0,3,3,0.7692307692307693,0.0,0.4375,0.4375,34.0,42.0
116,2014,2,Penn State,Akron,425,277,1286,2314,3,0.0,3,0,0.4,0.0,0.29411764705882354,0.29411764705882354,3.0,21.0
117,2014,2,Minnesota,Middle Tennessee,351,445,1286,2314,4,3.0,1,3,0.4166666666666667,0.0,0.4666666666666667,0.4666666666666667,24.0,35.0
118,2014,2,Northwestern,Northern Illinois,394,401,1286,2314,2,3.0,1,0,0.6086956521739131,0.0,0.3888888888888889,0.3888888888888889,23.0,15.0
119,2014,2,South Florida,Maryland,257,317,1286,2314,1,2.0,1,6,0.42857142857142855,0.0,0.5714285714285714,0.5714285714285714,24.0,17.0
120,2014,2,Iowa,Ball State,455,219,1286,2314,2,0.0,2,1,0.5263157894736842,0.0,0.25,0.25,13.0,17.0
121,2014,2,Oregon,Michigan State,491,466,1286,2314,6,3.0,0,2,0.375,1.0,0.4117647058823529,0.4117647058823529,27.0,46.0
122,2014,2,Notre Dame,Michigan,280,289,1286,2314,4,0.0,0,4,0.4666666666666667,1.0,0.3076923076923077,0.3076923076923077,0.0,31.0
123,2014,2,Ohio State,Virginia Tech,327,324,1286,2314,3,4.0,3,3,0.25,1.0,0.5294117647058824,0.5294117647058824,35.0,21.0
124,2014,3,Bowling Green,Indiana,571,582,1286,2314,5,6.0,2,1,0.3888888888888889,0.5,0.3333333333333333,0.3333333333333333,42.0,45.0
125,2014,3,Maryland,West Virginia,447,694,1286,2314,3,5.0,1,4,0.26666666666666666,0.0,0.4583333333333333,0.4583333333333333,40.0,37.0
126,2014,3,Ohio State,Kent State,628,126,1286,2314,9,0.0,3,3,0.6666666666666666,0.5,0.14285714285714285,0.14285714285714285,0.0,66.0
127,2014,3,Michigan,Miami (OH),460,198,1286,2314,4,1.0,3,1,0.4615384615384616,0.0,0.16666666666666666,0.16666666666666666,10.0,34.0
128,2014,3,Iowa,Iowa State,275,337,1286,2314,2,2.0,2,1,0.4375,1.0,0.3636363636363637,0.3636363636363637,20.0,17.0
129,2014,3,Washington,Illinois,464,351,1286,2314,3,2.0,1,3,0.5,0.5,0.09090909090909093,0.09090909090909093,19.0,44.0
130,2014,3,TCU,Minnesota,427,268,1286,2314,3,1.0,2,5,0.16666666666666666,0.0,0.1875,0.1875,7.0,30.0
131,2014,3,Notre Dame,Purdue,398,290,1286,2314,3,2.0,1,3,0.4705882352941176,0.0,0.4,0.4,14.0,30.0
132,2014,3,Rutgers,Penn State,294,373,1286,2314,1,1.0,5,1,0.35714285714285715,0.0,0.45,0.45,13.0,10.0
133,2014,3,Fresno State,Nebraska,346,562,1286,2314,2,6.0,0,1,0.2608695652173913,1.0,0.4,0.4,55.0,19.0
134,2014,4,Pittsburgh,Iowa,435,311,1286,2314,2,3.0,1,1,0.4615384615384616,0.6666666666666666,0.3636363636363637,0.3636363636363637,24.0,20.0
135,2014,4,Northwestern,Western Illinois,283,376,1286,2314,3,1.0,2,4,0.21428571428571427,0.5,0.2352941176470588,0.2352941176470588,7.0,24.0
136,2014,4,Purdue,Southern Illinois,381,330,1286,2314,4,1.0,1,2,0.5,0.0,0.5555555555555556,0.5555555555555556,13.0,35.0
137,2014,4,Michigan State,Eastern Michigan,496,135,1286,2314,10,2.0,1,6,0.5294117647058824,0.0,0.07692307692307693,0.07692307692307693,14.0,73.0
138,2014,4,Wisconsin,Bowling Green,756,271,1286,2314,9,2.0,3,2,0.42857142857142855,0.0,0.125,0.125,17.0,68.0
139,2014,4,Syracuse,Maryland,589,369,1286,2314,2,3.0,2,0,0.2857142857142857,0.0,0.3076923076923077,0.3076923076923077,34.0,20.0
