id,season,week,season_type,start_date,start_time_tbd,neutral_site,conference_game,attendance,venue_id,venue,home_id,home_team,home_conference,home_points,home_line_scores,home_post_win_prob,home_pregame_elo,home_postgame_elo,away_id,away_team,away_conference,away_points,away_line_scores,away_post_win_prob,away_pregame_elo,away_postgame_elo,excitement_index,highlights,notes
332422390,2013,1,regular,2013-08-31T00:00:00.000Z,,False,False,50151.0,3948.0,Hard Rock Stadium,2390,Miami,ACC,34.0,"[3, 17, 14, 0]",0.9988641610161784,1583.0,1622.0,2226,Florida Atlantic,Conference USA,6.0,"[0, 3, 3, 0]",0.0011358389838217,1279.0,1240.0,7.1628476044397,,
332420127,2013,1,regular,2013-08-31T00:00:00.000Z,,False,False,71214.0,3936.0,Spartan Stadium,127,Michigan State,Big Ten,26.0,"[7, 6, 6, 7]",0.9623109243081888,1637.0,1645.0,2711,Western Michigan,Mid-American,13.0,"[0, 7, 0, 6]",0.0376890756918111,1425.0,1417.0,4.86719017919486,,
332422567,2013,1,regular,2013-08-31T00:00:00.000Z,,False,False,34790.0,3735.0,Gerald J. Ford Stadium,2567,SMU,American Athletic,23.0,"[3, 6, 7, 7]",0.5467224509419356,1577.0,1527.0,2641,Texas Tech,Big 12,41.0,"[3, 10, 7, 21]",0.4532775490580644,1527.0,1577.0,7.24580601091852,,
332420248,2013,1,regular,2013-08-31T00:30:00.000Z,,False,False,26205.0,,,248,Houston,American Athletic,62.0,"[10, 17, 14, 21]",0.9987549692671616,,,2582,Southern,,13.0,"[0, 6, 7, 0]",0.0012450307328383,,,3.00357602393265,,
332422306,2013,1,regular,2013-08-31T00:30:00.000Z,,False,False,53351.0,3636.0,Bill Snyder Family Football Stadium,2306,Kansas State,Big 12,21.0,"[0, 7, 14, 0]",0.4313717831700145,,,2449,North Dakota State,,24.0,"[7, 0, 10, 7]",0.5686282168299854,,,5.09583461009748,,
332420012,2013,1,regular,2013-08-31T02:00:00.000Z,,False,False,53793.0,3619.0,Arizona Stadium,12,Arizona,Pac-12,35.0,"[7, 7, 14, 7]",0.8255494085359689,,,2464,Northern Arizona,,0.0,"[0, 0, 0, 0]",0.174450591464031,,,1.84399828830781,,
332430059,2013,1,regular,2013-08-31T16:00:00.000Z,,False,False,45759.0,721.0,Bobby Dodd Stadium at Historic Grant Field,59,Georgia Tech,ACC,70.0,"[28, 14, 21, 7]",0.9999832365459188,,,2210,Elon,,0.0,"[0, 0, 0, 0]",1.6763454081081264e-05,,,1.03969172858653,,
332430356,2013,1,regular,2013-08-31T16:00:00.000Z,,False,False,42175.0,3832.0,Memorial Stadium,356,Illinois,Big Ten,42.0,"[3, 22, 14, 3]",0.9599864176461248,,,79,Southern Illinois,,34.0,"[7, 0, 17, 10]",0.0400135823538753,,,5.17471661277634,,
332432132,2013,1,regular,2013-08-31T16:00:00.000Z,,False,False,36007.0,3854.0,Nippert Stadium,2132,Cincinnati,American Athletic,42.0,"[0, 14, 14, 14]",0.9956346371568268,1659.0,1725.0,2509,Purdue,Big Ten,7.0,"[0, 7, 0, 0]",0.0043653628431731,1405.0,1339.0,2.77451712086952,,
332430275,2013,1,regular,2013-08-31T16:00:00.000Z,,False,False,76306.0,347.0,Camp Randall Stadium,275,Wisconsin,Big Ten,45.0,"[10, 7, 21, 7]",0.9816936490619876,1841.0,1879.0,113,UMass,Mid-American,0.0,"[0, 0, 0, 0]",0.0183063509380124,1090.0,1052.0,1.92432147542864,,
332430194,2013,1,regular,2013-08-31T16:00:00.000Z,,False,False,103980.0,3861.0,Ohio Stadium,194,Ohio State,Big Ten,40.0,"[23, 7, 7, 3]",0.8263276452119985,1743.0,1747.0,2084,Buffalo,Mid-American,20.0,"[0, 13, 7, 0]",0.1736723547880014,1293.0,1289.0,2.39615556156929,,
332430277,2013,1,regular,2013-08-31T16:00:00.000Z,,False,False,56350.0,3842.0,Mountaineer Field at Milan Puskar Stadium,277,West Virginia,Big 12,24.0,"[7, 0, 10, 7]",0.2641083728373581,,,2729,William & Mary,,17.0,"[7, 10, 0, 0]",0.7358916271626419,,,5.47336685728026,,
332430103,2013,1,regular,2013-08-31T16:00:00.000Z,,False,False,30922.0,3615.0,Alumni Stadium,103,Boston College,ACC,24.0,"[7, 0, 14, 3]",0.7773004472126717,,,222,Villanova,,14.0,"[14, 0, 0, 0]",0.2226995527873283,,,5.41156645059557,,
